ID,exp,wks,occ,ind,south,smsa,ms,fem,union,edu,lwage,YEAR
1,3,32,0,0,1,0,1,0,0,9,5.5606799,1976
1,4,43,0,0,1,0,1,0,0,9,5.7203102,1977
1,5,40,0,0,1,0,1,0,0,9,5.9964499,1978
1,6,39,0,0,1,0,1,0,0,9,5.9964499,1979
1,7,42,0,1,1,0,1,0,0,9,6.06146,1980
1,8,35,0,1,1,0,1,0,0,9,6.17379,1981
1,9,32,0,1,1,0,1,0,0,9,6.2441702,1982
2,30,34,1,0,0,0,1,0,0,11,6.1633101,1976
2,31,27,1,0,0,0,1,0,0,11,6.2146101,1977
2,32,33,1,1,0,0,1,0,1,11,6.2634001,1978
2,33,30,1,1,0,0,1,0,0,11,6.54391,1979
2,34,30,1,1,0,0,1,0,0,11,6.6970301,1980
2,35,37,1,1,0,0,1,0,0,11,6.7912202,1981
2,36,30,1,1,0,0,1,0,0,11,6.81564,1982
3,6,50,1,1,0,0,1,0,1,12,5.6524901,1976
3,7,51,1,1,0,0,1,0,1,12,6.4361501,1977
3,8,50,1,1,0,0,1,0,1,12,6.5482202,1978
3,9,52,1,1,0,0,1,0,1,12,6.6025901,1979
3,10,52,1,1,0,0,1,0,1,12,6.6957998,1980
3,11,52,1,1,0,0,0,0,1,12,6.77878,1981
3,12,46,1,1,0,0,0,0,1,12,6.8606601,1982
4,31,52,1,0,0,1,0,1,0,10,6.15698,1976
4,32,46,1,0,0,1,0,1,0,10,6.2383199,1977
4,33,46,1,0,0,1,0,1,0,10,6.3007898,1978
4,34,49,1,0,0,1,0,1,0,10,6.35957,1979
4,35,44,1,0,0,1,0,1,0,10,6.4692502,1980
4,36,52,1,0,0,1,0,1,0,10,6.5624399,1981
4,37,46,1,0,0,1,0,1,0,10,6.6214099,1982
5,10,50,1,0,0,0,1,0,1,16,6.4377499,1976
5,11,46,1,0,0,0,1,0,1,16,6.62007,1977
5,12,40,1,0,0,0,1,0,1,16,6.6333199,1978
5,13,50,0,0,0,0,1,0,0,16,6.9828601,1979
5,14,47,1,0,0,1,1,0,0,16,7.0475202,1980
5,15,47,0,0,0,0,1,0,0,16,7.31322,1981
5,16,49,0,0,0,0,1,0,0,16,7.2957401,1982
6,26,44,1,1,0,1,1,0,0,12,6.9057498,1976
6,27,47,1,1,0,1,1,0,0,12,6.9057498,1977
6,28,47,1,1,0,1,1,0,0,12,6.9077601,1978
6,29,47,1,1,0,1,1,0,0,12,7.0030699,1979
6,30,44,1,1,0,1,1,0,0,12,7.0690198,1980
6,31,45,1,1,0,1,1,0,0,12,7.5202298,1981
6,32,47,1,1,0,1,1,0,0,12,7.3388901,1982
7,15,46,1,0,0,0,1,0,1,12,6.1334,1976
7,16,48,1,0,0,0,1,0,1,12,6.17379,1977
7,17,49,1,0,0,0,1,0,1,12,6.2126098,1978
7,18,46,1,0,0,0,1,0,1,12,6.31355,1979
7,19,47,1,0,0,0,1,0,1,12,6.37502,1980
7,20,47,1,0,0,0,1,0,1,12,6.4457202,1981
7,21,48,1,0,0,0,1,0,1,12,6.52209,1982
8,23,51,1,1,1,0,1,0,1,10,6.3315001,1976
8,24,50,1,1,1,0,1,0,1,10,6.4035702,1977
8,25,50,1,1,1,0,1,0,1,10,6.54391,1978
8,26,50,1,1,1,0,1,0,1,10,6.5624399,1979
8,27,44,1,1,0,1,1,0,1,10,6.59167,1980
8,28,51,1,1,0,1,1,0,1,10,6.8178301,1981
8,29,51,1,1,0,1,1,0,1,10,6.8916302,1982
9,3,50,0,0,1,1,1,0,0,16,6.5510802,1976
9,4,48,0,0,1,1,1,0,0,16,6.5510802,1977
9,5,50,0,0,1,1,1,0,0,16,6.8023901,1978
9,6,48,0,0,1,1,1,0,0,16,6.9077601,1979
9,7,48,0,0,1,1,1,0,0,16,7.0900798,1980
9,8,44,0,0,1,1,1,0,0,16,7.1701198,1981
9,9,48,0,0,1,1,1,0,0,16,7.20786,1982
10,3,49,0,0,1,1,1,0,0,16,6.3969302,1976
10,4,47,0,0,1,1,1,0,0,16,6.4377499,1977
10,5,46,0,0,1,1,1,0,0,16,6.4377499,1978
10,6,44,0,0,1,1,1,0,0,16,6.4377499,1979
10,7,43,0,0,1,1,1,0,0,16,6.52209,1980
10,8,34,0,0,1,1,1,0,0,16,6.61338,1981
10,9,40,0,0,1,1,1,0,0,16,6.7393398,1982
11,24,47,1,0,0,1,0,0,1,12,6.65801,1976
11,25,48,1,0,0,1,0,0,1,12,6.7262301,1977
11,26,45,1,0,0,1,0,0,1,12,6.8023901,1978
11,27,45,1,0,0,1,1,0,1,12,6.9077601,1979
11,28,47,1,0,0,1,1,0,1,12,7.03966,1980
11,29,17,1,0,0,1,1,0,1,12,7.1276898,1981
11,30,47,1,0,0,1,1,0,1,12,7.2442298,1982
12,21,47,1,0,1,1,1,0,1,12,6.5510802,1976
12,22,46,1,0,1,1,1,0,1,12,6.6293602,1977
12,23,47,1,0,1,1,1,0,1,12,6.72263,1978
12,24,47,1,0,1,1,1,0,1,12,6.7333999,1979
12,25,47,1,0,1,1,1,0,1,12,6.72263,1980
12,26,47,1,0,1,1,1,0,1,12,6.9517698,1981
12,27,46,1,0,1,1,1,0,1,12,7.0527201,1982
13,26,48,1,0,1,1,1,0,0,12,6.9057498,1976
13,27,48,1,0,1,1,1,0,0,12,6.9007301,1977
13,28,50,1,0,1,1,1,0,0,12,7.1701198,1978
13,29,48,1,0,1,1,1,0,0,12,7.26543,1979
13,30,48,1,0,1,1,1,0,0,12,7.25912,1980
13,31,46,0,0,1,1,1,0,0,12,7.25488,1981
13,32,46,1,0,1,1,1,0,0,12,7.4000101,1982
14,15,45,0,0,1,1,1,0,0,17,6.8023901,1976
14,16,45,0,0,1,1,1,0,0,17,6.8023901,1977
14,17,45,0,0,1,1,1,0,0,17,6.9256001,1978
14,18,44,0,0,1,1,1,0,0,17,7.0030699,1979
14,19,44,0,0,1,1,1,0,0,17,7.1308999,1980
14,20,44,0,0,1,1,1,0,0,17,7.1244798,1981
14,21,44,0,0,1,1,1,0,0,17,7.12287,1982
15,9,50,0,0,0,0,0,1,0,14,5.9401698,1976
15,10,46,0,0,0,0,0,1,0,14,5.8607898,1977
15,11,48,0,0,0,0,0,1,0,14,5.99894,1978
15,12,46,0,0,0,0,0,1,0,14,6.0844998,1979
15,13,48,0,0,0,0,0,1,0,14,6.3952599,1980
15,14,41,0,0,0,0,0,1,0,14,6.4769702,1981
15,15,48,0,0,0,0,0,1,0,14,6.4769702,1982
16,16,50,1,0,1,1,0,1,0,12,5.9788899,1976
16,17,50,1,0,1,1,0,1,0,12,5.7838302,1977
16,18,48,1,0,1,1,0,1,0,12,5.8579302,1978
16,19,48,1,0,1,1,0,1,0,12,5.9532399,1979
16,20,50,1,0,1,1,0,1,0,12,6.1463299,1980
16,21,50,1,0,1,1,0,1,0,12,6.1758699,1981
16,22,49,1,0,1,1,0,1,0,12,6.3885598,1982
17,16,49,0,1,0,0,1,0,0,14,6.62007,1976
17,17,48,0,1,0,0,1,0,0,14,6.49224,1977
17,18,49,0,1,0,0,1,0,0,14,6.7799201,1978
17,19,50,0,1,0,0,1,0,0,14,6.7452402,1979
17,20,51,0,1,0,0,1,0,0,14,7.0900798,1980
17,21,46,0,1,0,0,1,0,0,14,7.1308999,1981
